Project,FPGA_Part,FPGA_Family,Technology,Strategy,Clock_Constraint_ns,LUTs,FFs,Slices,DSPs,BRAMs,WNS_ns,Data_Path_Delay_ns,Logic_Delay_ns,Route_Delay_ns,Levels,Fmax_MHz,Synth_Time_s,Impl_Time_s,Total_Time_s,Status
mult_mod_3329_3x3_arc_1_st_exact_3_lut,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,279,0,82,0,0,N/A,14.122,5.556,8.565,22,70.81,43,62,117,OK
mult_mod_3329_3x3_arc_1_st_exact_3_lut,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,294,0,85,0,0,N/A,14.363,5.712,8.651,21,69.62,42,63,118,OK
mult_mod_3329_3x4_arc_2_2,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,352,0,99,0,0,N/A,14.172,5.457,8.715,20,70.56,48,69,128,OK
mult_mod_3329_3x4_arc_2_2,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,343,0,97,0,0,N/A,15.144,5.311,9.832,21,66.03,50,63,123,OK
mult_mod_3329_3x4_arc_2_2,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,347,0,99,0,0,N/A,14.289,5.345,8.944,22,69.98,48,67,127,OK
mult_mod_3329_2x2_arc_1,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,263,0,82,0,0,N/A,16.666,6.361,10.305,33,60,42,67,121,OK
mult_mod_3329_2x2_arc_1,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,250,0,75,0,0,N/A,15.933,6.487,9.446,30,62.76,42,67,121,OK
mult_mod_3329_2x2_arc_1,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,292,0,86,0,0,N/A,15.753,6.026,9.727,29,63.48,41,68,123,OK
mult_mod_3329_3x3_arc_1_st_exact_6_lut,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,292,0,83,0,0,N/A,13.991,5.667,8.324,23,71.47,40,63,115,OK
mult_mod_3329_3x3_arc_1_st_exact_6_lut,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,279,0,81,0,0,N/A,14.007,5.572,8.435,23,71.39,41,67,119,OK
mult_mod_3329_3x3_arc_1_st_exact_6_lut,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,294,0,87,0,0,N/A,14.565,5.508,9.057,22,68.66,42,63,117,OK
mult_mod_3329_3x3_arc_2_new,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,292,0,85,0,0,N/A,13.801,5.303,8.498,22,72.46,41,63,115,OK
mult_mod_3329_3x3_arc_2_new,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,277,0,84,0,0,N/A,13.7,5.503,8.197,22,72.99,43,63,116,OK
mult_mod_3329_3x3_arc_2_new,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,268,0,78,0,0,N/A,13.23,5.718,7.512,19,75.59,41,63,118,OK
mult_mod_3329_3x3_arc_1_st_exact_5_lut,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,292,0,88,0,0,N/A,14.251,5.575,8.676,23,70.17,42,64,117,OK
mult_mod_3329_3x3_arc_1_st_exact_5_lut,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,280,0,80,0,0,N/A,14.753,5.487,9.265,22,67.78,42,67,121,OK
mult_mod_3329_3x3_arc_1_st_exact_5_lut,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,293,0,83,0,0,N/A,14.276,5.476,8.8,21,70.05,41,63,117,OK
mult_mod_3329_st,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,330,0,98,0,0,N/A,15.656,6.488,9.169,25,63.87,41,63,115,OK
mult_mod_3329_st,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,323,0,98,0,0,N/A,16.129,6.521,9.608,28,62,42,63,117,OK
mult_mod_3329_st,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,342,0,100,0,0,N/A,15.429,6.202,9.228,27,64.81,40,63,117,OK
mult_mod_3329_2x2_arc_3_2_4_st_exact_3_lut,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,319,0,90,0,0,N/A,14.576,5.383,9.194,22,68.61,42,69,124,OK
mult_mod_3329_2x2_arc_3_2_4_st_exact_3_lut,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,290,0,82,0,0,N/A,14.99,5.902,9.087,24,66.71,41,64,116,OK
mult_mod_3329_2x2_arc_3_2_4_st_exact_3_lut,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,381,0,107,0,0,N/A,14.812,5.31,9.502,24,67.51,41,68,122,OK
mult_mod_3329_3x3_arc_1_st_exact,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,292,0,86,0,0,N/A,13.679,5.769,7.91,23,73.1,42,64,117,OK
mult_mod_3329_3x3_arc_1_st_exact,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,279,0,86,0,0,N/A,14.161,5.148,9.013,20,70.62,42,63,117,OK
mult_mod_3329_3x3_arc_1_st_exact,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,294,0,83,0,0,N/A,14.05,5.575,8.475,21,71.17,42,67,123,OK
mult_mod_3329_2x2_arc_3_1_2,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,345,0,102,0,0,N/A,23.106,6.475,16.631,38,43.28,53,64,128,OK
mult_mod_3329_2x2_arc_3_1_2,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,311,0,91,0,0,N/A,28.588,7.3,21.288,52,34.98,46,64,122,OK
mult_mod_3329_2x2_arc_3_1_2,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,423,0,119,0,0,N/A,21.534,5.996,15.538,39,46.44,52,62,127,OK
Yaman,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,293,0,85,0,0,N/A,13.291,4.786,8.505,19,75.24,41,67,119,OK
Yaman,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,294,0,84,0,0,N/A,14.07,5.105,8.965,21,71.07,41,68,121,OK
Yaman,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,319,0,90,0,0,N/A,13.038,4.843,8.195,20,76.7,41,68,122,OK
mult_mod_3329_2x2_arc_3_1_3_st_exact,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,314,0,89,0,0,N/A,15.777,5.604,10.173,26,63.38,41,64,117,OK
mult_mod_3329_2x2_arc_3_1_3_st_exact,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,292,0,85,0,0,N/A,16.86,5.746,11.114,25,59.31,41,65,118,OK
mult_mod_3329_2x2_arc_3_1_3_st_exact,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,381,0,107,0,0,N/A,14.976,4.728,10.248,22,66.77,42,67,122,OK
mult_mod_3329_2x2_arc_3_2_4,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,320,0,97,0,0,N/A,14.751,5.568,9.183,24,67.79,41,67,120,OK
mult_mod_3329_2x2_arc_3_2_4,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,288,0,83,0,0,N/A,15.196,5.597,9.599,22,65.81,42,64,118,OK
mult_mod_3329_2x2_arc_3_2_4,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,382,0,105,0,0,N/A,14.508,4.809,9.698,21,68.93,41,68,123,OK
mult_mod_3329_2x2_arc_4_3,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,295,0,88,0,0,N/A,16.153,6.338,9.815,28,61.91,41,68,121,OK
mult_mod_3329_2x2_arc_4_3,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,255,0,83,0,0,N/A,16.119,6.572,9.547,29,62.04,41,67,121,OK
mult_mod_3329_2x2_arc_4_3,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,336,0,98,0,0,N/A,16.509,6.348,10.161,28,60.57,42,68,123,OK
mult_mod_3329_2x2_arc_3_2_4_st_exact_5_lut,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,319,0,90,0,0,N/A,14.66,5.397,9.263,25,68.21,42,67,120,OK
mult_mod_3329_2x2_arc_3_2_4_st_exact_5_lut,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,291,0,83,0,0,N/A,15.301,5.085,10.216,21,65.36,42,64,117,OK
mult_mod_3329_2x2_arc_3_2_4_st_exact_5_lut,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,381,0,107,0,0,N/A,14.708,5.291,9.417,23,67.99,41,63,118,OK
mult_mod_3329_3x4_arc_2_1,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,352,0,99,0,0,N/A,14.172,5.457,8.715,20,70.56,48,64,123,OK
mult_mod_3329_3x4_arc_2_1,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,343,0,97,0,0,N/A,15.144,5.311,9.832,21,66.03,52,64,128,OK
mult_mod_3329_3x4_arc_2_1,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,347,0,99,0,0,N/A,14.289,5.345,8.944,22,69.98,43,61,114,OK
mult_mod_3329_4x4_arc_1,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,434,0,121,0,0,N/A,14.642,5.107,9.535,19,68.3,44,56,106,OK
mult_mod_3329_4x4_arc_1,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,423,0,116,0,0,N/A,14.842,5.125,9.718,20,67.38,57,60,123,OK
mult_mod_3329_4x4_arc_1,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,444,0,122,0,0,N/A,14.246,5.202,9.044,20,70.2,43,61,111,OK
mult_mod_3329_4x4_arc_1_st_exact_5_lut,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,399,0,109,0,0,N/A,13.049,5.448,7.601,19,76.63,43,57,105,OK
mult_mod_3329_4x4_arc_1_st_exact_5_lut,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,392,0,108,0,0,N/A,13.67,5.305,8.365,20,73.15,49,61,116,OK
mult_mod_3329_4x4_arc_1_st_exact_5_lut,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,400,0,111,0,0,N/A,13.193,5.414,7.779,19,75.8,42,56,105,OK
mult_mod_3329_4x4_arc_1_st_exact_6_lut,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,398,0,110,0,0,N/A,13.549,5.54,8.009,20,73.81,46,72,125,OK
mult_mod_3329_4x4_arc_1_st_exact_6_lut,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,391,0,110,0,0,N/A,13.036,5.194,7.842,20,76.71,54,63,130,OK
mult_mod_3329_4x4_arc_1_st_exact_6_lut,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,399,0,108,0,0,N/A,13.272,5.484,7.788,19,75.35,47,57,116,OK
mult_mod_3329_2x2_arc_3_1_3,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,314,0,94,0,0,N/A,15.207,5.331,9.876,25,65.76,36,57,99,OK
mult_mod_3329_2x2_arc_3_1_3,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,288,0,83,0,0,N/A,15.7,5.617,10.083,26,63.69,38,59,104,OK
mult_mod_3329_2x2_arc_3_1_3,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,382,0,109,0,0,N/A,15.09,5.147,9.943,22,66.27,37,55,99,OK
mult_mod_3329_2x2_arc_3_2_1,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,337,0,96,0,0,N/A,21.873,5.981,15.892,35,45.72,47,56,108,OK
mult_mod_3329_2x2_arc_3_2_1,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,298,0,90,0,0,N/A,27.984,7.383,20.601,55,35.73,42,57,105,OK
mult_mod_3329_2x2_arc_3_2_1,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,418,0,118,0,0,N/A,21.78,5.463,16.317,34,45.91,47,57,112,OK
