Project,FPGA_Part,FPGA_Family,Technology,Strategy,Clock_Constraint_ns,LUTs,FFs,Slices,DSPs,BRAMs,WNS_ns,Data_Path_Delay_ns,Logic_Delay_ns,Route_Delay_ns,Levels,Fmax_MHz,Synth_Time_s,Impl_Time_s,Total_Time_s,Status
mult_mod_3329_3x4_arc_1_1,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,354,0,101,0,0,N/A,14.206,5.383,8.823,24,70.39,43,61,110,OK
mult_mod_3329_3x4_arc_1_1,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,343,0,99,0,0,N/A,14.482,5.344,9.138,23,69.05,48,60,114,OK
mult_mod_3329_3x4_arc_1_1,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,357,0,101,0,0,N/A,15.316,5.642,9.674,22,65.29,43,60,110,OK
,,,,,,,,,,,,,,,,,,,,
mult_mod_3329_2x2_arc_5_aig,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,504,0,140,0,0,N/A,14.056,5.095,8.962,20,71.14,42,58,108,OK
mult_mod_3329_2x2_arc_5_aig,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,490,0,139,0,0,N/A,14.147,4.823,9.324,19,70.69,44,58,110,OK
mult_mod_3329_2x2_arc_5_aig,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,522,0,146,0,0,N/A,14.024,4.633,9.391,18,71.31,41,60,110,OK
mult_mod_3329_2x2_arc_5_exact_aig_2,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,486,0,134,0,0,N/A,14.001,5.013,8.989,19,71.42,43,57,107,OK
mult_mod_3329_2x2_arc_5_exact_aig_2,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,458,0,126,0,0,N/A,14.683,5.142,9.541,21,68.11,45,57,108,OK
mult_mod_3329_2x2_arc_5_exact_aig_2,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,512,0,139,0,0,N/A,13.342,4.916,8.426,20,74.95,42,57,106,OK
mult_mod_3329_2x2_arc_5_exact_aig_1,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,485,0,134,0,0,N/A,13.854,5.288,8.566,21,72.18,64,62,133,OK
mult_mod_3329_2x2_arc_5_exact_aig_1,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,457,0,129,0,0,N/A,14.254,5.476,8.778,20,70.16,65,58,130,OK
mult_mod_3329_2x2_arc_5_exact_aig_1,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,511,0,141,0,0,N/A,13.977,5.146,8.831,20,71.55,65,61,133,OK
mult_mod_3329_2x2_arc_5_exact,xc7k70tfbg484-3,Kintex-7,28nm,Default_NoClock,0,489,0,134,0,0,N/A,13.579,5.231,8.348,19,73.64,44,62,112,OK
mult_mod_3329_2x2_arc_5_exact,xc7k70tfbg484-3,Kintex-7,28nm,Area_NoClock,0,472,0,134,0,0,N/A,15.247,5.041,10.206,21,65.59,51,61,119,OK
mult_mod_3329_2x2_arc_5_exact,xc7k70tfbg484-3,Kintex-7,28nm,Speed_NoClock,0,517,0,146,0,0,N/A,14.263,5.273,8.99,21,70.11,45,57,109,OK
